name,price,source
Barilla Pasta Rigatoni,48.5,astro
Barilla Pasta Angel Hair,40.9,astro
Masaya Beras Porang,125.0,astro
Mie Sedaap Soto Dus/Mie Instan,108.0,astro
Mie Sedaap Singapore Spicy Laksa Dus/Mie Instan,108.0,astro
Mie Sedaap Ayam Bawang Dus/Mie Instan,108.0,astro
Barilla Pasta Rigatoni,48.5,astro
Barilla Pasta Angel Hair,40.9,astro
Masaya Beras Porang,125.0,astro
Mie Sedaap Soto Dus/Mie Instan,108.0,astro
Mie Sedaap Singapore Spicy Laksa Dus/Mie Instan,108.0,astro
Mie Sedaap Ayam Bawang Dus/Mie Instan,108.0,astro
Indomie Goreng Special Mie Instan,3.0,astro
Indomie Kuah Soto Mie Mie Instan,3.3,astro
Indomie Goreng Special Jumbo Mie Instan,4.3,astro
Indomie Kuah Ayam Bawang Mie Instan,3.3,astro
Indomie Kuah Kari Ayam Mie Instan,3.4,astro
Indomie Kuah Ayam Spesial Mie Instan,3.3,astro
Indomie Goreng Rendang Mie Instan,3.6,astro
Indomie Goreng Ayam Panggang Jumbo Mie Instan,4.5,astro
Indomie Kuah Ayam Bawang Mie Instan Dus,124.4,astro
Indomie Kuah Ayam Spesial Mie Instan Dus,124.4,astro
Indomie Kuah Soto Mie Instan Dus,124.4,astro
Indomie Goreng Special Mie Instan Dus,120.0,astro
Indomie Goreng Special Jumbo Mie Instan Dus,97.5,astro
Indomie Kuah Kari Ayam Mie Instan Dus,129.0,astro
[Bundling 3] Indomie Mie Instant Premium Japanese Tori Kara Ramen 89 gram,18.0,astro
[Bundling 3] Indomie Premium Korean Fried Noodle Fiery Chikin Mie Instan 94 gram,18.0,astro
[Bundling 3] Indomie Premium Korean Soup Noodle Spicy Ramyeon Mie Instan 83 gram,18.0,astro
[Bundling 3] Indomie Premium Korean Fried Noodle K- Rose Mie Instan 85 gram,18.0,astro
Wow Spaghetti Creamy Carbonara Pasta,3.8,astro
[Bundling 3] Atoom Super Bihun Kuah 51gram,15.3,astro
Samyang Hot Chicken Ramen Buldak Carbonara Mie Instan,26.0,astro
Samyang Hot Chicken Extreme 2x Spicy Ramen,26.0,astro
Samyang Hot Chicken Ramen Buldak Original Mie Instan,26.0,astro
Samyang Hot Chicken Ramen Buldak Carbonara Mie Instan Bowl,36.2,astro
Samyang Hot Chicken Ramen Buldak Cheese Mie Instan,26.0,astro
Samyang Hot Chicken Ramen Original Bowl/Mie Instan,33.4,astro
Lemonilo Mie Goreng/Mie instan 65gram,7.5,astro
Nongshim Shin Ramyun Spicy Mushroom Mie Instan,13.0,astro
Bihunku Rasa Soto Spesial,4.1,astro
Bihunku Bihun Instan Bakso Sapi,3.8,astro
Barco Minyak Goreng 2L,112.5,indomart
Barco Minyak Goreng Refill 1000Ml,52.9,indomart
Happy Soya Minyak Goreng Refill 1L,52.9,indomart
Harumas Minyak Goreng 2L,38.5,indomart
Bimoli Minyak Goreng 1000Ml,20.9,indomart
Bimoli Minyak Goreng Special Refill 1000Ml,21.9,indomart
Tropical Minyak Goreng 2000Ml,40.9,indomart
Sunco Minyak Goreng 2L,42.7,indomart
Sania Minyak Goreng Refill 2000Ml,40.0,indomart
Ajinomoto Bumbu Kaldu Jamur 40G,4.2,indomart
Kobe Bumbu Ayam Goreng Lengkuas 80G,2.7,indomart
Mamakoko Santan 65mL,5.1,indomart
Nutrijell Pudding Susu Coklat 145G,13.9,indomart
Nutrijell Pudding Susu Powder Strawberry 145G,14.1,indomart
Sasa Bumbu Ungkep Ayam Kuning 25G,2.0,indomart
Koepoe-Koepoe Lada Hitam Bubuk 83G,26.9,indomart
Kapal Api Krim Kafe 500g,34.6,indomart
Bawang Bombay Fresh 500G,17.2,indomart
Indomaret Beras Ramos Super 5Kg,74.2,indomart
Indomaret Beras Kepala Super Premium 5Kg,74.2,indomart
Larisst Beras Premium 5Kg,74.2,indomart
Fs Melati Beras Setra Ramos 5Kg,74.5,indomart
Larisst Beras Premium 2.5Kg,37.25,indomart
Indomaret Ketan Hitam 500G,20.9,indomart
Indomaret Beras Merah 2Kg,46.9,indomart
Larisst Beras Kepala Super 5Kg,74.5,indomart
Sania Beras Premium 5Kg,74.5,indomart
Kobe Tepung Bumbu Kentucky Super Crispy 200G,7.2,indomart
Kobe Tepung Tempe Kriuk 200G,7.2,indomart
Mamasuka Tepung Bakwan Krispi 225G,7.5,indomart
Mamasuka Tepung Roti 100G,10.3,indomart
Sasa Bumbu Lumur Ayam Spesial 26G,2.5,indomart
Sasa Tepung Bumbu Serbaguna Original 210G,7.5,indomart
Sasa Tepung Bumbu Ala Kentucky 200G,7.5,indomart
Sasa Tepung Bumbu Serbaguna Hot Spicy 210G,7.5,indomart
Sasa Tepung Bakwan Spesial 225G,7.5,indomart
Kewpie Mayonnaise Original 150g,36.5,indomart
Dua Belibis Saus Cabe 340Ml,25.2,indomart
Dua Belibis Saus Cabe 135Ml,10.0,indomart
Maestro Mayonnaise 100G,6.0,indomart
Abc Sambal Extra Pedas 335Ml,20.8,indomart
Abc Sambal 335Ml,20.8,indomart
Maestro Thousand Island Salad Dressing 100G,5.9,indomart
Bango Kecap Manis Refill 735mL,34.2,indomart
Abc Sambal 130Ml,9.3,indomart
Blue Band Margarine Serbaguna 250G,22.9,indomart
Emina Block Shred Cheese 160G,13.7,indomart
Kraft Keju Cheddar Box 150g,27.9,indomart
Emina Cheese Slice Ceddar 10'S,12.9,indomart
Blue Band Margarine Cake & Cookie 200G,15.6,indomart
Kraft Cheese Quick Melt Mozza 165G,33.9,indomart
Perfetto Keju Mozzarella 250g,58.0,indomart
Laughing Cow Cheez Dippers 140g,58.1,indomart
Laughing Cow Belcube Cheese 24's Plain 125g,52.0,indomart
Fiesta Spicy Wing (Sayap Berbumbu) 500G,81.5,indomart
Fiesta Spicy Karage 500G,76.5,indomart
Fiesta Karage (Daging Ayam Olahan) 500G,76.5,indomart
Fiesta Spicy Chicken 500G,70.9,indomart
Fiesta Nugget (Daging Ayam Olahan) 500G,69.4,indomart
Fiesta Spicy Nugget 500G,68.9,indomart
Fiesta Stikie (Daging Ayam Olahan) 500G,68.9,indomart
Fiesta Crispy Bubble Chicken Nugget 500G,64.0,indomart
Champ Chicken Nugget Hotzz 500G,55.5,indomart
Gaga Sardines Tomat & Chilli 425G,25.9,indomart
Maya Sardines Tomato & Chili Sauce 155G,12.5,indomart
Gaga Sardines Chili & Tomato 155G,11.5,indomart
Asahi Sardines Saus Tomat 155G,11.4,indomart
Asahi Sardines Saus Pedas 155G,11.4,indomart
Abc Sardines Tomat 155G,12.5,indomart
Abc Sardines Extra Pedas 155G,12.5,indomart
Abc Sardines Chili 155G,12.5,indomart
Maya Sardine In Tomato Sauce 155G,12.5,indomart
La Fonte Spaghetti (11) 450G,18.7,indomart
Wow Spageti Instant Spaghetti Aglio Olio 75G,3.6,indomart
La Fonte Spaghetti Instant Saus Ayam 117G,6.5,indomart
La Fonte Fettuccine 225G,10.0,indomart
La Fonte Spaghetti Instant Saus Bolognese 117G,7.5,indomart
Burung Dara Mie Kering Pipih 140G,4.0,indomart
La Fonte Macaroni Elbow 225G,8.0,indomart
Bihun Jagung Bihun Cap Tanam Jagung 320G,12.0,indomart
Indomaret Bihun Beras 220G,10.6,indomart
Telur Ayam Negeri,2.4,indomart
Gado Telur Pindang Manis,8.0,indomart
Telur Ayam Kampung Omega 3,4.1,indomart
Gado Telur Bebek Asin,10.5,indomart
Telur Ayam Omega 3 (Harga Per-Butir),2.89,indomart
Telur Asin Matang,6.0,indomart
Indofood Sambal Pedas 24X8G,8.5,indomart
Bango Kecap Manis 380G,15.0,indomart
Larisst Tepung Roti Mixed 200G,10.9,indomart
Larisst Tepung Bumbu Serbaguna Original 200G,5.5,indomart
Wow Spageti Instant Spaghetti Aglio Olio 75G,3.6,indomart
Abc Saus Tiram 135mL,14.5,indomart
Abc Sambal Extra Pedas 380G,19.4,indomart
Kim's Tempe Ungkep Bumbu Kuning 360G,19.5,indomart
Sunco Minyak Goreng 2L,42.7,indomart
Kim's Tempe Bacem 360G,23.0,indomart
Kanzler Chicken Nugget Crispy Spicy 450G,57.5,indomart
Fiesta Rice Bites Cheesy Italian 400G,57.0,indomart
Fiesta Yakiniku Rice Bites 400g,57.0,indomart
Frisian Flag Keju Cheddar 150G,20.5,indomart
So Good Crispy Chicken Stick 400G,54.5,indomart
Fiesta Spicy Karage 400G,56.6,indomart
Fiesta Spicy Wing 400G,59.9,indomart
Nutrijell Pudding Susu Powder Korean Strawberry 145G,13.5,indomart
Tudung Bumbu Nasi Padang Rendang 27G,7.5,indomart
Tudung Bumbu Nasi Uduk 27G,7.5,indomart
