"indomart_name","indomart_price"
"Barco Minyak Goreng 2L","Rp 112.500"
"Barco Minyak Goreng Refill 1000Ml","Rp 52.900"
"Happy Soya Minyak Goreng Refill 1L","Rp 52.900"
"Harumas Minyak Goreng 2L","Rp 38.500"
"Bimoli Minyak Goreng 1000Ml","Rp 20.900"
"Bimoli Minyak Goreng Special Refill 1000Ml","Rp 21.900"
"Tropical Minyak Goreng 2000Ml","Rp 40.900"
"Sunco Minyak Goreng 2L","Rp 42.700"
"Sania Minyak Goreng Refill 2000Ml","Rp 40.000"
"Ajinomoto Bumbu Kaldu Jamur 40G","Rp 4.200"
"Kobe Bumbu Ayam Goreng Lengkuas 80G","Rp 2.700"
"Mamakoko Santan 65mL","Rp 5.100"
"Nutrijell Pudding Susu Coklat 145G","Rp 13.900"
"Nutrijell Pudding Susu Powder Strawberry 145G","Rp 14.100"
"Sasa Bumbu Ungkep Ayam Kuning 25G","Rp 2.000"
"Koepoe-Koepoe Lada Hitam Bubuk 83G","Rp 26.900"
"Kapal Api Krim Kafe 500g","Rp 34.600"
"Bawang Bombay Fresh 500G","Rp 17.200"
"Indomaret Beras Ramos Super 5Kg","Rp 74.200"
"Indomaret Beras Kepala Super Premium 5Kg","Rp 74.200"
"Larisst Beras Premium 5Kg","Rp 74.200"
"Fs Melati Beras Setra Ramos 5Kg","Rp 74.500"
"Larisst Beras Premium 2.5Kg","Rp 37.250"
"Indomaret Ketan Hitam 500G","Rp 20.900"
"Indomaret Beras Merah 2Kg","Rp 46.900"
"Larisst Beras Kepala Super 5Kg","Rp 74.500"
"Sania Beras Premium 5Kg","Rp 74.500"
"Kobe Tepung Bumbu Kentucky Super Crispy 200G","Rp 7.200"
"Kobe Tepung Tempe Kriuk 200G","Rp 7.200"
"Mamasuka Tepung Bakwan Krispi 225G","Rp 7.500"
"Mamasuka Tepung Roti 100G","Rp 10.300"
"Sasa Bumbu Lumur Ayam Spesial 26G","Rp 2.500"
"Sasa Tepung Bumbu Serbaguna Original 210G","Rp 7.500"
"Sasa Tepung Bumbu Ala Kentucky 200G","Rp 7.500"
"Sasa Tepung Bumbu Serbaguna Hot Spicy 210G","Rp 7.500"
"Sasa Tepung Bakwan Spesial 225G","Rp 7.500"
"Kewpie Mayonnaise Original 150g","Rp 36.500"
"Dua Belibis Saus Cabe 340Ml","Rp 25.200"
"Dua Belibis Saus Cabe 135Ml","Rp 10.000"
"Maestro Mayonnaise 100G","Rp 6.000"
"Abc Sambal Extra Pedas 335Ml","Rp 20.800"
"Abc Sambal 335Ml","Rp 20.800"
"Maestro Thousand Island Salad Dressing 100G","Rp 5.900"
"Bango Kecap Manis Refill 735mL","Rp 34.200"
"Abc Sambal 130Ml","Rp 9.300"
"Blue Band Margarine Serbaguna 250G","Rp 22.900"
"Emina Block Shred Cheese 160G","Rp 13.700"
"Kraft Keju Cheddar Box 150g","Rp 27.900"
"Emina Cheese Slice Ceddar 10'S","Rp 12.900"
"Blue Band Margarine Cake & Cookie 200G","Rp 15.600"
"Kraft Cheese Quick Melt Mozza 165G","Rp 33.900"
"Perfetto Keju Mozzarella 250g","Rp 58.000"
"Laughing Cow Cheez Dippers 140g","Rp 58.100"
"Laughing Cow Belcube Cheese 24's Plain 125g","Rp 52.000"
"Fiesta Spicy Wing (Sayap Berbumbu) 500G","Rp 81.500"
"Fiesta Spicy Karage 500G","Rp 76.500"
"Fiesta Karage (Daging Ayam Olahan) 500G","Rp 76.500"
"Fiesta Spicy Chicken 500G","Rp 70.900"
"Fiesta Nugget (Daging Ayam Olahan) 500G","Rp 69.400"
"Fiesta Spicy Nugget 500G","Rp 68.900"
"Fiesta Stikie (Daging Ayam Olahan) 500G","Rp 68.900"
"Fiesta Crispy Bubble Chicken Nugget 500G","Rp 64.000"
"Champ Chicken Nugget Hotzz 500G","Rp 55.500"
"Gaga Sardines Tomat & Chilli 425G","Rp 25.900"
"Maya Sardines Tomato & Chili Sauce 155G","Rp 12.500"
"Gaga Sardines Chili & Tomato 155G","Rp 11.500"
"Asahi Sardines Saus Tomat 155G","Rp 11.400"
"Asahi Sardines Saus Pedas 155G","Rp 11.400"
"Abc Sardines Tomat 155G","Rp 12.500"
"Abc Sardines Extra Pedas 155G","Rp 12.500"
"Abc Sardines Chili 155G","Rp 12.500"
"Maya Sardine In Tomato Sauce 155G","Rp 12.500"
"La Fonte Spaghetti (11) 450G","Rp 18.700"
"Wow Spageti Instant Spaghetti Aglio Olio 75G","Rp 3.600"
"La Fonte Spaghetti Instant Saus Ayam 117G","Rp 6.500"
"La Fonte Fettuccine 225G","Rp 10.000"
"La Fonte Spaghetti Instant Saus Bolognese 117G","Rp 7.500"
"Burung Dara Mie Kering Pipih 140G","Rp 4.000"
"La Fonte Macaroni Elbow 225G","Rp 8.000"
"Bihun Jagung Bihun Cap Tanam Jagung 320G","Rp 12.000"
"Indomaret Bihun Beras 220G","Rp 10.600"
"Telur Ayam Negeri","Rp 2.400"
"Gado Telur Pindang Manis","Rp 8.000"
"Telur Ayam Kampung Omega 3","Rp 4.100"
"Gado Telur Bebek Asin","Rp 10.500"
"Telur Ayam Omega 3 (Harga Per-Butir)","Rp 2.890"
"Telur Asin Matang","Rp 6.000"
"Indofood Sambal Pedas 24X8G","Rp 8.500"
"Bango Kecap Manis 380G","Rp 15.000"
"Larisst Tepung Roti Mixed 200G","Rp 10.900"
"Larisst Tepung Bumbu Serbaguna Original 200G","Rp 5.500"
"Wow Spageti Instant Spaghetti Aglio Olio 75G","Rp 3.600"
"Abc Saus Tiram 135mL","Rp 14.500"
"Abc Sambal Extra Pedas 380G","Rp 19.400"
"Kim's Tempe Ungkep Bumbu Kuning 360G","Rp 19.500"
"Sunco Minyak Goreng 2L","Rp 42.700"
"Kim's Tempe Bacem 360G","Rp 23.000"
"Kanzler Chicken Nugget Crispy Spicy 450G","Rp 57.500"
"Fiesta Rice Bites Cheesy Italian 400G","Rp 57.000"
"Fiesta Yakiniku Rice Bites 400g","Rp 57.000"
"Frisian Flag Keju Cheddar 150G","Rp 20.500"
"So Good Crispy Chicken Stick 400G","Rp 54.500"
"Fiesta Spicy Karage 400G","Rp 56.600"
"Fiesta Spicy Wing 400G","Rp 59.900"
"Nutrijell Pudding Susu Powder Korean Strawberry 145G","Rp 13.500"
"Tudung Bumbu Nasi Padang Rendang 27G","Rp 7.500"
"Tudung Bumbu Nasi Uduk 27G","Rp 7.500"